Garut,,,,,,,,,,,,
dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),,,,
1,2800,4900000,1400000,644000,3640000,364000,470000,16200000,,,,
2,1400,4900000,500000,322000,1820000,182000,540000,8100000,,,,
3,2000,2000000,700000,200000,2600000,260000,690000,14850000,,,,
4,1000,1800000,800000,230000,1300000,100000,340000,13050000,,,,
5,800,1520000,580000,184000,1040000,104000,350000,10200000,,,,
6,800,1400000,550000,184000,1040000,104000,350000,3600000,,,,
7,1000,400000,500000,230000,1300000,180000,490000,8100000,,,,
8,1400,700000,500000,322000,1820000,182000,470000,7850000,,,,
9,5000,3500000,1200000,1150000,6500000,650000,690000,29700000,,,,
10,2800,5040000,1150000,644000,3640000,364000,750000,36450000,,,,
11,1000,1900000,1180000,230000,1300000,130000,390000,13050000,,,,
12,3000,1800000,850000,690000,3900000,390000,790000,28200000,,,,
13,1400,980000,800000,322000,1820000,182000,330000,9400000,,,,
14,230,402500,120000,52900,391000,69000,420000,2100000,,,,
15,1500,2850000,1800000,345000,1950000,195000,340000,19800000,,,,
16,1200,3960000,500000,276000,1560000,156000,370000,6750000,,,,
17,700,1225000,760000,161000,910000,91000,330000,9300000,,,,
18,2000,3600000,3700000,460000,2000000,260000,690000,25650000,,,,
19,1400,4900000,500000,322000,1820000,182000,470000,6750000,,,,
20,2800,2800000,1000000,644000,3640000,280000,750000,13500000,,,,
21,1000,4000000,500000,230000,1300000,130000,440000,5400000,,,,
22,1400,4900000,500000,322000,1820000,182000,470000,6750000,,,,
23,1000,4000000,500000,230000,1300000,130000,390000,5400000,,,,
24,1400,4900000,500000,322000,1820000,182000,470000,6750000,,,,
25,2000,1000000,850000,460000,2600000,260000,440000,14850000,,,,
26,5000,3500000,1600000,1150000,6500000,500000,1200000,34650000,,,,
27,7000,4900000,2000000,1610000,9100000,910000,1700000,49500000,,,,
28,2000,2000000,1000000,460000,2600000,260000,450000,13180000,,,,
29,120,210000,70000,27600,156000,15600,990000,1740000,,,,
30,2000,3800000,540000,460000,2600000,200000,690000,25650000,,,,
31,2100,3360000,1300000,483000,2730000,273000,470000,15150000,,,,
32,1400,2240000,600000,322000,1820000,182000,400000,10100000,,,,
33,4000,2000000,1600000,920000,5200000,520000,1200000,30000000,,,,
34,2400,1920000,1200000,552000,3120000,312000,650000,19000000,,,,
35,4200,7350000,1480000,966000,5460000,546000,1240000,27540000,,,,
36,3500,11900000,600000,805000,4550000,455000,695000,24750000,,,,
37,2100,7350000,600000,483000,2730000,273000,365000,14850000,,,,
38,1400,4900000,500000,322000,1820000,182000,330000,9900000,,,,
39,2000,7000000,600000,460000,2600000,260000,390000,14850000,,,,
40,1300,2275000,500000,299000,1690000,169000,385000,16875000,,,,
41,7000,24500000,2500000,1610000,9100000,910000,1900000,49500000,,,,
42,1400,4900000,600000,322000,1820000,182000,330000,9900000,,,,
43,2300,1150000,850000,529000,2990000,299000,491000,16200000,,,,
44,2200,14960000,700000,506000,5060000,286000,370000,28800000,,,,
45,3000,9900000,1400000,690000,3900000,390000,700000,18600000,,,,
46,1400,4900000,600000,322000,1820000,182000,420000,9900000,,,,
47,4500,19800000,1700000,1035000,5850000,585000,775000,24750000,,,,
48,1120,2128000,710000,257600,1456000,145600,1086000,14850000,,,,
49,500,875000,190000,115000,650000,65000,240000,6550000,,,,
50,2800,4900000,1200000,644000,3640000,364000,2430000,36450000,,,,
51,170,1496000,120000,39100,221000,22100,456000,2100000,,,,
52,1000,500000,960000,230000,1300000,100000,350000,19800000,,,,
53,1000,500000,960000,230000,1300000,100000,350000,19800000,,,,
54,1000,500000,960000,230000,1300000,100000,350000,19800000,,,,
55,1000,500000,840000,300000,1300000,100000,320000,9300000,,,,
56,2500,4500000,500000,575000,3250000,325000,690000,29700000,,,,
57,1300,2470000,500000,299000,1690000,169000,450000,16875000,,,,
58,1800,3150000,500000,414000,2340000,234000,3790000,29700000,,,,
59,2100,3675000,500000,483000,2730000,273000,610000,48300000,,,,
60,900,450000,960000,270000,1170000,99000,340000,9400000,,,,
61,900,450000,960000,270000,1170000,99000,340000,9400000,,,,
62,900,450000,960000,270000,1170000,99000,320000,9900000,,,,
63,1400,2520000,720000,322000,1820000,182000,260000,17550000,,,,
64,1050,1995000,560000,241500,1365000,136500,295000,13950000,,,,
65,1200,720000,500000,276000,1560000,156000,290000,8100000,,,,
66,1600,960000,600000,368000,2080000,208000,370000,9900000,,,,
67,1900,3325000,560000,437000,2470000,247000,570000,24750000,,,,
68,1300,2275000,500000,299000,1690000,169000,385000,16875000,,,,
69,2800,9800000,800000,644000,3640000,364000,660000,13640000,,,,
70,2000,3600000,500000,460000,2600000,260000,590000,25650000,,,,
71,2000,3800000,500000,460000,2600000,260000,2690000,39600000,,,,
72,15000,26250000,13000000,3450000,19500000,1950000,2440000,198000000,,,,
73,1800,3150000,500000,414000,2340000,198000,550000,24000000,,,,
74,1900,3420000,560000,437000,2470000,247000,570000,24750000,,,,
75,2000,3800000,500000,460000,2600000,260000,390000,39600000,,,,
76,2100,3675000,500000,483000,2730000,273000,610000,49500000,,,,
77,1000,4000000,500000,230000,1300000,130000,300000,6400000,,,,
78,1400,4900000,500000,322000,1820000,182000,330000,6890000,,,,
79,2100,7980000,800000,483000,2730000,273000,920000,9600000,,,,
80,2250,7875000,800000,517500,2925000,292500,432500,12840000,,,,
81,1200,600000,500000,276000,1560000,156000,410000,8325000,,,,
82,1000,500000,840000,230000,1300000,130000,320000,9300000,,,,
83,1000,500000,840000,300000,1300000,130000,320000,9300000,,,,
84,1000,500000,840000,300000,1300000,100000,320000,9300000,,,,
85,2100,7350000,700000,483000,2730000,273000,365000,10200000,,,,
86,1200,4920000,500000,276000,1560000,156000,350000,6590000,,,,
87,2240,7840000,800000,515200,2912000,291200,498000,12600000,,,,
88,1680,5880000,500000,386400,2184000,218400,386000,8495000,,,,
89,2500,1500000,800000,575000,3250000,325000,550000,15000000,,,,
90,2000,1000000,600000,460000,2600000,260000,390000,12720000,,,,
91,1120,4928000,500000,257600,1456000,145600,386000,6544000,,,,
92,1400,4900000,500000,322000,1820000,182000,330000,8180000,,,,
93,1200,2160000,620000,276000,1560000,156000,310000,16200000,,,,
94,3500,6125000,1480000,805000,4550000,455000,365000,48150000,,,,
95,1400,2450000,500000,322000,1820000,182000,260000,17550000,,,,
96,1000,500000,840000,300000,1300000,100000,320000,9300000,,,,
97,1000,500000,840000,300000,1300000,100000,320000,9300000,,,,
98,2000,3600000,900000,460000,2600000,260000,490000,9400000,,,,
,,,,,,,,,,,,
Indramayu,,,,,,,,,,,,
dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),,,,
1,2000,3000000,1210000,460000,2600000,260000,1190000,25650000,,,,
2,500,3000000,150000,115000,650000,65000,2190000,10400000,,,,
3,4000,25000000,5000000,920000,5200000,520000,590000,62400000,,,,
4,140,245000,130000,32200,182000,18200,680000,1860000,,,,
5,2000,3500000,500000,460000,2600000,260000,590000,25650000,,,,
6,10000,34000000,5000000,2300000,13000000,1300000,1190000,86800000,,,,
7,1000,3000000,500000,230000,1300000,130000,2390000,13050000,,,,
8,500,2400000,300000,115000,1400000,65000,2190000,6550000,,,,
9,2000,6000000,500000,460000,4500000,260000,3190000,25650000,,,,
10,5000,33000000,3200000,1150000,5000000,650000,2690000,66150000,,,,
11,10000,15000000,12000000,2300000,13000000,1300000,1190000,133650000,,,,
12,7000,12600000,5000000,1610000,9100000,910000,890000,41400000,,,,
13,900,990000,500000,180000,1800000,117000,1090000,12250000,,,,
14,280,980000,200000,64400,364000,36400,2150000,2100000,,,,
15,4500,14850000,5000000,1035000,5850000,585000,2440000,59400000,,,,
16,3000,5700000,5000000,690000,3900000,390000,1090000,49500000,,,,
17,5000,15000000,3000000,1150000,5000000,650000,2690000,91200000,,,,
18,6300,14490000,14200000,1449000,8190000,819000,1135000,84150000,,,,
19,7000,12250000,3000000,1610000,7700000,910000,890000,131600000,,,,
20,8000,15200000,4000000,1840000,10400000,1040000,990000,39600000,,,,
21,6000,10800000,1000000,1380000,7800000,1200000,1900000,65000000,,,,
22,2500,24000000,2000000,625000,4750000,325000,2190000,41600000,,,,
23,230,1587000,230000,52900,299000,29900,1133000,2100000,,,,
24,200,350000,100000,46000,260000,26000,2190000,2100000,,,,
25,2500,20000000,5000000,575000,5000000,325000,2190000,32850000,,,,
26,5000,15000000,12000000,1150000,6500000,1000000,1190000,66150000,,,,
27,2500,20000000,1200000,575000,3250000,325000,940000,32850000,,,,
28,14000,16800000,5000000,3220000,18200000,2800000,1590000,186300000,,,,
29,1200,2160000,400000,276000,2040000,156000,1150000,18600000,,,,
30,250,4000000,250000,105000,325000,32500,1090000,2100000,,,,
31,10000,20000000,6000000,2300000,10000000,2000000,2190000,133650000,,,,
32,2130,1917000,3000000,489900,2769000,276900,1255000,29700000,,,,
33,5000,9000000,4000000,1150000,6500000,650000,2690000,53000000,,,,
34,6000,11400000,4000000,1380000,7800000,780000,1990000,62400000,,,,
35,2000,3500000,1000000,460000,2000000,260000,2190000,25650000,,,,
36,20000,35000000,6000000,4600000,26000000,2600000,2190000,114400000,,,,
37,14193,15612300,3600000,3264390,18450900,1845090,1609300,79800000,,,,
38,1000,1100000,500000,230000,1300000,200000,490000,9900000,,,,
39,8400,35280000,5000000,1932000,10920000,2100000,1030000,59400000,,,,
40,500,2500000,500000,115000,500000,65000,1090000,11000000,,,,
41,9800,17150000,12000000,2254000,12740000,2940000,1170000,128700000,,,,
42,10000,22000000,1500000,2300000,13000000,1300000,1690000,61650000,,,,
43,9800,17640000,13000000,2254000,12740000,1274000,1660000,66060000,,,,
44,12000,25200000,2000000,2760000,15600000,1560000,1990000,83750000,,,,
45,14000,31500000,4000000,3220000,18200000,1820000,890000,101020000,,,,
46,7000,15750000,1500000,1610000,9100000,910000,1590000,94050000,,,,
47,8400,35280000,5000000,1932000,10920000,2100000,1030000,112050000,,,,
48,7000,14700000,4500000,1610000,9100000,910000,1380000,44550000,,,,
49,7000,14700000,4000000,1610000,9100000,2100000,890000,45800000,,,,
50,18000,45000000,10000000,1800000,23400000,2340000,5590000,161600000,,,,
51,10000,18000000,6000000,2300000,13000000,1300000,3190000,77590000,,,,
52,14000,37800000,7000000,3220000,18200000,1820000,4390000,101000000,,,,
53,5000,10000000,1500000,1150000,6500000,1250000,1440000,35350000,,,,
54,4000,9000000,1000000,920000,5200000,1000000,990000,51300000,,,,
55,5000,9000000,1000000,1150000,6500000,800000,1440000,29020000,,,,
56,6000,12600000,2000000,1380000,7800000,1200000,1090000,32400000,,,,
57,1200,3000000,700000,276000,1500000,156000,790000,16200000,,,,
58,6000,9600000,3000000,1380000,7800000,1800000,1690000,42240000,,,,
59,8000,14400000,4000000,1840000,10400000,1040000,2190000,62440000,,,,
60,5000,10000000,2000000,1150000,6500000,1250000,1190000,66150000,,,,
61,600,1200000,500000,138000,600000,78000,1138168.342,12720000,,,,
62,4000,9200000,1200000,920000,5200000,1000000,1190000,33180000,,,,
,,,,,,,,,,,,
Karawang,,,,,,,,,,,,
dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),,,,
1,6000,10500000,7200000,1380000,7800000,780000,1690000,39600000,,,,
2,10000,17500000,12000000,2300000,13000000,500000,2500000,133650000,,,,
3,10000,17500000,2400000,2300000,13000000,1300000,3100000,61200000,,,,
4,5000,8750000,1200000,1150000,6500000,650000,3100000,30600000,,,,
5,20000,36000000,3600000,4600000,26000000,2600000,2190000,267300000,,,,
6,10000,18000000,3600000,2300000,13000000,1300000,2690000,81600000,,,,
7,30000,18000000,25500000,6900000,39000000,3900000,1690000,244800000,,,,
8,6000,18000000,3840000,1380000,7800000,780000,1690000,30600000,,,,
9,10000,15000000,2400000,2300000,13000000,1300000,3150000,133650000,,,,
10,20000,18000000,12000000,4600000,26000000,2600000,5190000,267300000,,,,
11,20000,18000000,17000000,4600000,26000000,2600000,5600000,153000000,,,,
12,30000,18000000,5000000,6900000,39000000,3900000,2000000,230400000,,,,
13,7000,17500000,10000000,1610000,9100000,910000,2290000,94050000,,,,
14,3500,17850000,720000,805000,4550000,1050000,1240000,48150000,,,,
15,15000,12000000,6000000,3450000,19500000,1500000,1800000,118800000,,,,
16,10000,18000000,3000000,2300000,13000000,2500000,2700000,81600000,,,,
17,17000,255000000,7200000,3910000,22100000,2210000,5400000,153000000,,,,
18,2500,10000000,4000000,575000,3250000,325000,5250000,12800000,,,,
19,30000,99000000,8000000,6900000,39000000,4800000,1800000,208000000,,,,
20,6000,18000000,3000000,1380000,7800000,1500000,1390000,28200000,,,,
21,20000,10000000,5000000,4600000,26000000,2600000,3190000,148500000,,,,
22,10000,15000000,3000000,2300000,13000000,1500000,3190000,82400000,,,,
23,10000,10000000,3000000,2300000,13000000,1200000,1190000,81600000,,,,
24,10000,15000000,6000000,2300000,13000000,1200000,2690000,81600000,,,,
25,20000,12000000,7500000,4600000,26000000,2600000,5400000,153000000,,,,
26,8000,12000000,3500000,1840000,10400000,1200000,1390000,60600000,,,,
27,8000,14400000,3000000,1840000,10400000,1440000,1450000,50500000,,,,
28,10000,18000000,3800000,2300000,13000000,1200000,2690000,80800000,,,,
29,30000,15000000,16000000,6900000,39000000,3900000,2000000,237600000,,,,
30,20000,15000000,4300000,4600000,26000000,4000000,2800000,122400000,,,,
31,10000,12000000,2400000,2300000,13000000,1300000,1300000,62400000,,,,
32,10000,12000000,2400000,2300000,13000000,1300000,1190000,79200000,,,,
33,20000,12000000,4300000,4600000,26000000,4000000,2500000,138600000,,,,
34,16000,9600000,4200000,3680000,20800000,4000000,2590000,112800000,,,,
35,15000,12000000,3500000,3450000,19500000,3750000,1690000,99000000,,,,
36,10000,12000000,2400000,2300000,13000000,1300000,1300000,69300000,,,,
37,16000,12000000,4700000,3680000,20800000,2560000,1790000,117002000,,,,
38,10000,12000000,2500000,2300000,13000000,1300000,1190000,80800000,,,,
39,5000,12000000,1400000,1150000,6500000,650000,690000,66150000,,,,
40,15000,12000000,3500000,3450000,19500000,3750000,1690000,99000000,,,,
41,10000,12000000,2400000,2300000,13000000,1300000,1300000,62400000,,,,
42,7000,14700000,2000000,1610000,9100000,910000,1350000,39600000,,,,
43,11500,11500000,2700000,2645000,14950000,3450000,2490000,67200000,,,,
44,19000,11400000,4500000,4370000,24700000,3800000,2200000,252900000,,,,
45,20000,12000000,4400000,4800000,26000000,2600000,1190000,196000000,,,,
46,28000,117600000,32000000,6440000,36400000,5040000,4950000,155200000,,,,
47,10000,12000000,2200000,2300000,13000000,3000000,1190000,48000000,,,,
48,10000,12000000,2400000,2300000,13000000,1300000,1300000,62400000,,,,
49,6000,15000000,1800000,1380000,7800000,780000,1390000,41600000,,,,
50,7000,11900000,1800000,1610000,9100000,910000,1380000,52000000,,,,
51,10000,12000000,2600000,2300000,13000000,2500000,1300000,63000000,,,,
52,20000,18000000,4300000,4600000,26000000,4000000,2700000,126000000,,,,
